,predicted_mean
2045-04-01,452.82192278284697
2045-05-01,453.22291018270346
2045-06-01,453.0424169276532
2045-07-01,452.2082093275837
2045-08-01,451.5183860612807
2045-09-01,450.9248177462217
2045-10-01,451.12133687626647
2045-11-01,451.9314771372187
2045-12-01,452.4740059194139
2046-01-01,452.89415873060483
2046-02-01,453.0278671373337
2046-03-01,453.44913747082643
2046-04-01,453.77063551062855
2046-05-01,454.1582810202864
2046-06-01,453.9837932436909
2046-07-01,453.1773418928376
2046-08-01,452.5104708347057
2046-09-01,451.93665207608603
2046-10-01,452.126632505274
2046-11-01,452.90981729976767
2046-12-01,453.4342947430824
2047-01-01,453.8404679811606
2047-02-01,453.96972756261005
2047-03-01,454.3769811401263
2047-04-01,454.6877821067843
2047-05-01,455.06252964551413
2047-06-01,454.89384752953833
2047-07-01,454.1142289055425
2047-08-01,453.46954637612106
2047-09-01,452.91482005500484
2047-10-01,453.0984793428627
2047-11-01,453.85560554913855
2047-12-01,454.36263226840833
2048-01-01,454.755291070008
2048-02-01,454.8802498501269
2048-03-01,455.27395304547116
2048-04-01,455.57441285833664
2048-05-01,455.9366915750643
2048-06-01,455.77362195033044
2048-07-01,455.019943258816
2048-08-01,454.3967109882396
2048-09-01,453.8604418497412
2048-10-01,454.037990317026
2048-11-01,454.769924971861
